"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"1998","1","11","AMORIM","3","RO","18484"
"1998","1","11","ARI","5","PI","132513"
"1998","1","11","BURITY","5","PB","394294"
"1998","1","11","CAFETEIRA","3","MA","401578"
"1998","1","11","CÉLIA MENDES","5","AC","35233"
"1998","1","11","ELIONALDO MAGALHAES","5","AL","35721"
"1998","1","11","ESPERIDIÃO AMIN","3","SC","1429982"
"1998","1","11","LUIZ OTÁVIO","5","PA","609239"
"1998","1","11","MOZARILDO","5","RR","44652"
"1998","1","11","MURILO BADARÓ","5","MG","203056"
"1998","1","11","NEUDO CAMPOS","3","RR","57864"
"1998","1","11","OSCAR DO BASQUETE","5","SP","5752202"
"1998","1","11","PAULO MALUF","3","SP","5351026"
"1998","1","11","ROBERTO CAMPOS","5","RJ","2039179"
"1998","1","1100","PASTOR AMARILDO","6","TO","23759"
"1998","1","11000","CACILDO VASCONCELOS","7","TO","8803"
"1998","1","11000","DR. IVANILDO","7","PE","2083"
"1998","1","11001","JOAO SEVERO","7","TO","2339"
"1998","1","11001","NELSON GRIGOLETTI","7","RS","2661"
"1998","1","11009","CLAUDIO CEZAR","7","RS","234"
"1998","1","1101","ABELARDO GOMES","6","SC","4384"
"1998","1","1101","BARBUDO DE ARARUAMA","6","RJ","4528"
"1998","1","1101","HAMUCHE","6","SP","21244"
"1998","1","1101","JESUS BENTO","6","GO","655"
"1998","1","1101","JOSE OVIDIO","6","RN","998"
"1998","1","1101","JOSÉ LUIZ MAIA","6","PI","3241"
"1998","1","1101","MÁRCIO LEONARDI","6","MA","316"
"1998","1","1101","Roberto Costa","6","CE","4486"
"1998","1","11011","ELIZETE RABELO","7","RO","362"
"1998","1","11012","RAMALHO","7","PE","1333"
"1998","1","1102","LUCIMAR ARAGÃO","6","AC","1106"
"1998","1","11022","CLAUDIO BONATTO","7","RS","1947"
"1998","1","1103","FABINHO","6","PR","105"
"1998","1","1103","JAYME VIEIRA MATTOS","6","RJ","442"
"1998","1","1103","JORGE KALUME","6","AC","1678"
"1998","1","1103","MARTELLO","6","SP","79058"
"1998","1","1104","ASSIS MALACARNE","6","PR","400"
"1998","1","1104","SHINODA","6","SP","3282"
"1998","1","11044","WANDERLEY FONSECA","7","MG","108"
"1998","1","1105","CARLOS FERREIRA","6","RJ","634"
