"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2014","1","10","MARCELO CRIVELLA","3","RJ","1619165"
"2014","1","100","DIPLOMATA SEBASTIÃO NEVES","5","RJ","301162"
"2014","1","1000","CELSO RUSSOMANNO","6","SP","1524361"
"2014","1","1000","DRA. ARIADNA","6","MG","30968"
"2014","1","1000","IDONEIL MESQUITA","6","PI","21553"
"2014","1","1000","JURANDY LOUREIRO","6","ES","0"
"2014","1","1000","MAJOR FRANCIMAR","6","PB","3453"
"2014","1","1000","POPÓ","6","BA","23017"
"2014","1","1000","TADEU TÔ CONTIGO","6","RJ","27913"
"2014","1","1000","THALES NOVAES","6","AL","1070"
"2014","1","10000","ALESSANDRO CHAVES","7","MS","602"
"2014","1","10000","ANA DO GÁS","7","MA","78287"
"2014","1","10000","BRANCO DO CALAFATE","7","AC","1248"
"2014","1","10000","DANIEL GUERRA","7","RS","17951"
"2014","1","10000","DAVID DURAND","7","CE","53608"
"2014","1","10000","DR. MARINHO","7","PB","0"
"2014","1","10000","EMANOEL GOMES","7","PR","6801"
"2014","1","10000","FERNANDO AVELINO","7","PA","576"
"2014","1","10000","GALBA NOVAES","7","AL","26832"
"2014","1","10000","GENIVAL DA ENFERMAGEM","7","RR","1672"
"2014","1","10000","JAIRO DE GLÓRIA","7","SE","22560"
"2014","1","10000","JORGE WILSON XERIFE CONSUMIDOR","7","SP","180419"
"2014","1","10000","MARCIO SERRÃO","7","AP","4540"
"2014","1","10000","MARCOS DOIDERA","7","GO","1784"
"2014","1","10000","MICHEL IRRTHUM","7","MG","4763"
"2014","1","10000","ROBSON FAGUNDES","7","RJ","1774"
"2014","1","10000","ROGÉRIO PEREIRA","8","DF","257"
"2014","1","10000","SALOMAO","7","PI","3022"
"2014","1","10000","STALLINE ARAÚJO","7","AM","76"
"2014","1","10000","VALQUIRIA","7","TO","269"
"2014","1","10000","ZAZA EVANGELISTA","7","ES","2925"
"2014","1","10001","FALCON","7","AL","135"
"2014","1","10001","JOÃO BATISTA","8","DF","103"
"2014","1","10001","MAGALI VILELA","7","GO","121"
"2014","1","10001","PARROLA NELES","7","RJ","2271"
"2014","1","10002","INEU NUNES","7","SP","271"
"2014","1","10002","JOANA DARC","7","GO","15"
"2014","1","10005","DANI ALMEIDA","7","RJ","49"
"2014","1","10007","CORONEL RICARDO","7","SP","4174"
"2014","1","10007","DENILSON MADEIRA","7","MA","814"
"2014","1","10007","LEANDRO FRUHAUF","7","GO","200"
"2014","1","10007","MARCIA CAETANO","7","MT","82"
"2014","1","10007","NIVON","7","PR","557"
"2014","1","10007","TIRIRICA DE ARACAJU","7","SE","306"
"2014","1","10007","VALDECI LOPES","7","RO","4038"
"2014","1","10007","ZÉ BAIANO","7","MS","0"
"2014","1","1001","ALINE BELO","6","PE","218"
"2014","1","1001","BATORE","6","SP","4672"
"2014","1","1001","DOUTOR PAULO PARACATU","6","DF","2294"
"2014","1","1001","GUSTAVO MACHADO","6","SC","2705"
"2014","1","1001","MARCÃO SCOPRESS","6","RJ","2500"
"2014","1","1001","PASTOR LUIZÃO","6","AL","3194"
"2014","1","1001","RONALDO RESENDE","6","MG","0"
"2014","1","10010","ADAILTON FURIA","7","RO","3879"
"2014","1","10010","ALMEIDA","7","MT","1080"
"2014","1","10010","ANA SOUZA","8","DF","22"
"2014","1","10010","CLEO GONÇALVES","7","PA","923"
"2014","1","10010","DR.JOSE ROBERTO","7","MG","3246"
"2014","1","10010","DRA. JAVA","7","PB","117"
"2014","1","10010","FRED SILVEIRA","7","GO","4187"
"2014","1","10010","JOSÉ DE SOUSA","7","RJ","3795"
"2014","1","10010","JULIANA CARDOSO","7","SP","10092"
"2014","1","10010","VIGILANTE CLAUDINEI","7","RN","163"
"2014","1","10011","LAPROVITA","7","RJ","943"
"2014","1","10011","THÊQUINHO","7","RS","2399"
"2014","1","10012","LEANDRO DA PREVENÇAO E SAÚDE","7","RJ","233"
"2014","1","10012","SARGENTO ASSIS","7","ES","4929"
