"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2006","1","10","MARCELO CRIVELLA","3","RJ","1531431"
"2006","1","100","ROSANGELA GOMES","5","RJ","264155"
"2006","1","1000","PROFESSOR NILO","6","RJ","2242"
"2006","1","1000","RODRIGO","6","RR","1468"
"2006","1","1000","SARGENTO SANTIAGO","6","PE","4708"
"2006","1","10000","CASSIA BRINGEL","7","MA","5379"
"2006","1","10000","SGT SOUZA","7","PE","1824"
"2006","1","10001","ANTONIO SOARES","7","RJ","267"
"2006","1","10007","JORGE LEIBE","7","RJ","624"
"2006","1","1001","LEILA CHAGAS","6","RJ","737"
"2006","1","10012","LEIDE","7","RJ","46"
"2006","1","10051","RIBAMAR SANTOS","7","RJ","204"
"2006","1","10066","PROFESSOR LUCIO GUIMARÃES","7","RJ","529"
"2006","1","1007","CARLOS ROSA","6","RJ","84"
"2006","1","1009","AMÉRICO PESSOA","6","RJ","1389"
"2006","1","1010","ALFREDO","6","MG","1024"
"2006","1","1010","CARLOS DE JESUS","6","PA","50960"
"2006","1","1010","EUZÉBIO","6","PB","729"
"2006","1","1010","LÉO VIVAS","6","RJ","83127"
"2006","1","1010","REGINALDO DE JESUS","6","AL","13615"
"2006","1","1010","SANTOS ROQUE","6","MA","20171"
"2006","1","10100","BEATRIZ SANTOS","7","RJ","39266"
"2006","1","10100","DR. SEBASTIÃO","8","DF","1788"
"2006","1","10100","ESPEDITA","7","RR","14"
"2006","1","10100","RUI FERREIRA","7","PE","407"
"2006","1","10101","FERNANDO HERRERO","7","RJ","1876"
"2006","1","10101","PROFESSOR JACKSON","7","RR","287"
"2006","1","10103","ARIVALDO SANTOS","7","PA","2959"
"2006","1","1011","LACERDA","6","PB","282"
"2006","1","10110","BETO BANCA","8","DF","537"
"2006","1","10111","AIRTON RATES","7","RR","307"
"2006","1","10111","IRMÃO CARLOS","7","PE","363"
"2006","1","10111","MARIA CELSA","7","RJ","422"
"2006","1","1012","CABRAL BOMBEIRO","6","RJ","1892"
"2006","1","10120","FANOR REIS","7","RR","338"
"2006","1","10123","CESINHA DO EGITO","7","MA","450"
"2006","1","10123","EDSON PRACZYK","7","PR","35725"
"2006","1","10123","EDUARDO CÔRTES","8","DF","161"
"2006","1","10123","FAUSTO OLIVEIRA","7","PB","21276"
"2006","1","10123","ROBERTO SANTOS","7","PA","35163"
"2006","1","10123","SILVA DO PRB","7","RJ","636"
"2006","1","10123","SOCORRO SIMÕES","7","RR","1035"
