"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","1010","PR. JORGE PINHEIRO","6","GO","48510"
"2010","1","1010","RICARDO QUIRINO","6","DF","30969"
"2010","1","1010","VIGILANTE CLAUDINEI PINHEIRO","6","RN","762"
"2010","1","1010","VITOR PAULO","6","RJ","157580"
"2010","1","1010","WALDIR CANAL","6","RS","64732"
"2010","1","10100","BEATRIZ SANTOS","7","RJ","5742"
"2010","1","10100","BISPO GILBERTO ABRAMO","7","MG","52994"
"2010","1","10100","CASSIA BRINGEL","7","MA","5595"
"2010","1","10100","COSTA","7","SE","38"
"2010","1","10100","DR CHARLES","7","PA","2578"
"2010","1","10100","MAILSON CRUZ","7","CE","32696"
"2010","1","10100","RAQUEL CORREIA","7","MS","502"
"2010","1","10100","SHEILA VARELA","7","BA","21721"
"2010","1","10100","SILVIO DELMONDES","7","MT","8433"
"2010","1","10100","VALDIR OLIVEIRA","7","SP","642"
"2010","1","10101","EVANIR MAGALHÃES","7","GO","545"
"2010","1","10101","OTILIA PINTO","7","RR","933"
"2010","1","10102","FERNANDO BARRETO","7","BA","528"
"2010","1","10102","MARILDA CARVALHO","7","RR","1"
"2010","1","10102","SARGENTO ARAUJO","7","GO","1844"
"2010","1","10103","MARIA DO SOCORRO","7","RR","0"
"2010","1","10104","NAIANE LOPES","7","RR","4"
"2010","1","10105","SILVIO SANTOS","7","RJ","319"
"2010","1","10105","TATIANA","7","RR","1"
"2010","1","1011","DR. JAMAL","6","BA","2674"
"2010","1","1011","ELLEN","6","PR","663"
"2010","1","1011","HELENA SOARES","6","PI","144"
"2010","1","1011","JOAQUIM SANDES","6","AL","645"
"2010","1","1011","JOHNATHAN DE JESUS","6","RR","16550"
"2010","1","1011","JOSÉ TEOFILO","6","SP","788"
"2010","1","10110","AGNALDO DIAS","7","BA","447"
"2010","1","10110","ANDRE BRETAS","8","DF","270"
"2010","1","10110","BOLOTA","7","TO","920"
"2010","1","10110","JAMAICA","7","MG","940"
"2010","1","10110","JOÃO MENEZES","7","RS","2758"
"2010","1","10110","RABELO O SABIÁ","7","CE","495"
"2010","1","10110","VILMA DOS SANTOS","7","RJ","7133"
"2010","1","10111","ADRIANA DA CRUZ","7","PR","635"
"2010","1","10111","ARNALDO GOMES","8","DF","246"
"2010","1","10111","BISPO EDSON MARÇAL","7","GO","118"
"2010","1","10111","CASCATA","7","RR","659"
"2010","1","10111","CHICO MARANHAO","7","MA","2588"
"2010","1","10111","CORINTHIANO","7","SP","1059"
"2010","1","10111","DANIELLE AMANCIO","7","RJ","118"
"2010","1","10111","EMERSON","7","MT","31"
"2010","1","10111","PASTOR MARCELO GOUVEIA","7","AL","13466"
"2010","1","10111","RIAD BALLUT","7","AM","2132"
"2010","1","10113","EDINALDO CARNEIRO","7","PA","3217"
"2010","1","10113","LEÔNCIO","7","BA","258"
"2010","1","10115","PARAIBA","7","RJ","2131"
"2010","1","10119","MARCIA FRIEBE","7","PR","416"
"2010","1","1012","ALESSANDER VIGNA","6","SP","3498"
"2010","1","1012","GISELY SOARES","6","PI","361"
"2010","1","1012","JONATAN LIMA","6","RJ","3034"
"2010","1","1012","TIA DO DOCE","6","PR","1432"
"2010","1","10120","IRMÃO MANOEL","7","BA","1452"
"2010","1","10120","MARCELO SÁ","7","RJ","176"
"2010","1","10122","MINEIRO","7","GO","215"
"2010","1","10122","SINETE ANDRADE","7","AM","212"
"2010","1","10122","ZE HILDO ALVES","7","PA","15090"
"2010","1","10123","ALEXANDRE CORREA","7","RJ","112676"
"2010","1","10123","ALEXANDRE MUNIZ","7","MT","8014"
"2010","1","10123","BISPO OSSESIO SILVA","7","PE","30632"
"2010","1","10123","DEVANIR FERREIRA","7","ES","8467"
"2010","1","10123","DR BRASIL","7","AP","5611"
"2010","1","10123","EVANDRO GARLA","8","DF","15867"
"2010","1","10123","FATIMA ALBRECHT KNIPHOF","7","RS","2514"
"2010","1","10123","GILMACI SANTOS","7","SP","96976"
"2010","1","10123","GUARACY AGUIAR","7","CE","1036"
"2010","1","10123","JUTAY MENESES","7","PB","17371"
"2010","1","10123","ODETE DE JESUS","7","SC","27186"
"2010","1","10123","PASTOR CARLOS HENRIQUE","7","MG","35983"
"2010","1","10123","PASTOR DELSO MOREIRA","7","RO","4200"
"2010","1","10123","PASTOR EDSON PRACZYK","7","PR","50074"
